car_type,hour,day_of_week,multiplier
SEDAN,18,1,0.97
XE_MAY,2,5,0.596
XE_MAY,7,0,0.506
XE_MAY,10,0,0.608
SEDAN,8,5,1.585
PICKUP,6,4,1.228
SEDAN,23,4,0.892
PICKUP,7,6,1.778
PICKUP,13,1,1.431
XE_MAY,3,5,0.589
PICKUP,11,3,1.386
PICKUP,14,6,1.772
XE_MAY,21,5,0.578
XE_MAY,1,3,0.445
SUV,3,1,1.14
SEDAN,6,4,0.907
PICKUP,4,3,1.289
SEDAN,8,3,1.198
SEDAN,2,3,0.879
XE_MAY,1,5,0.592
XE_MAY,2,6,0.594
SEDAN,5,3,0.903
PICKUP,15,1,1.707
PICKUP,1,1,1.26
PICKUP,0,3,1.262
SUV,14,2,1.245
PICKUP,22,5,1.591
PICKUP,4,1,1.23
SUV,6,0,1.093
XE_MAY,23,2,0.454
XE_MAY,1,4,0.445
PICKUP,16,6,2.185
SEDAN,1,4,0.922
XE_MAY,5,0,0.443
XE_MAY,21,6,0.582
SEDAN,12,0,1.015
SEDAN,18,4,0.984
XE_MAY,19,0,0.487
PICKUP,21,4,1.244
SUV,8,1,1.47
SUV,7,2,1.282
PICKUP,4,5,1.668
SUV,14,2,1.26
XE_MAY,0,3,0.46
XE_MAY,2,4,0.458
SEDAN,16,2,1.177
SEDAN,11,0,1.024
SEDAN,11,2,1.002
SEDAN,14,6,1.324
SUV,19,6,1.664
XE_MAY,21,6,0.579
SUV,21,0,1.099
SEDAN,8,0,1.18
XE_MAY,23,4,0.448
SEDAN,8,2,1.223
SEDAN,22,2,0.919
SEDAN,21,5,1.135
SUV,16,3,1.501
SUV,1,0,1.119
PICKUP,8,0,1.652
XE_MAY,10,6,0.762
SEDAN,20,2,0.99
SEDAN,23,3,0.924
PICKUP,17,0,1.662
XE_MAY,2,5,0.586
SEDAN,17,0,1.215
SUV,18,4,1.24
SEDAN,13,1,1.028
XE_MAY,9,2,0.617
XE_MAY,11,1,0.493
SEDAN,21,0,0.9
SUV,17,6,1.927
PICKUP,19,5,1.797
SEDAN,7,6,1.264
SEDAN,5,3,0.906
XE_MAY,5,5,0.585
SUV,13,6,1.581
SEDAN,8,1,1.184
XE_MAY,12,6,0.666
XE_MAY,15,1,0.591
SEDAN,14,2,0.979
SUV,7,1,1.249
XE_MAY,21,1,0.463
PICKUP,10,2,1.654
XE_MAY,8,2,0.606
PICKUP,21,6,1.664
SUV,0,0,1.107
SUV,5,4,1.14
SUV,1,0,1.116
PICKUP,11,5,1.834
SUV,13,4,1.26
XE_MAY,12,4,0.501
SEDAN,8,0,1.171
PICKUP,0,4,1.285
SEDAN,11,3,0.989
XE_MAY,21,2,0.442
SUV,21,6,1.422
XE_MAY,23,2,0.452
SUV,21,3,1.137
SUV,12,5,1.578
SUV,17,1,1.501
SEDAN,13,5,1.279
PICKUP,21,5,1.652
SEDAN,19,4,0.98
SUV,12,4,1.264
XE_MAY,9,2,0.596
SEDAN,13,6,1.334
SUV,14,3,1.223
PICKUP,21,1,1.248
PICKUP,23,1,1.231
XE_MAY,9,4,0.615
SUV,2,6,1.496
SEDAN,21,2,0.887
SEDAN,6,1,0.909
XE_MAY,1,1,0.459
PICKUP,19,6,1.826
XE_MAY,14,3,0.501
SEDAN,22,5,1.152
PICKUP,15,3,1.639
SEDAN,4,5,1.198
XE_MAY,3,6,0.599
PICKUP,7,1,1.411
PICKUP,1,4,1.248
SEDAN,3,3,0.892
SEDAN,14,5,1.318
SUV,14,4,1.28
PICKUP,17,3,1.719
SEDAN,23,6,1.19
PICKUP,14,2,1.412
SEDAN,20,2,0.975
PICKUP,20,1,1.372
SUV,14,0,1.28
SUV,7,2,1.258
SUV,10,4,1.456
XE_MAY,4,1,0.439
SEDAN,12,5,1.313
SEDAN,22,1,0.873
XE_MAY,13,3,0.49
SUV,17,3,1.504
PICKUP,1,1,1.275
PICKUP,12,6,1.837
XE_MAY,18,3,0.492
PICKUP,0,2,1.276
SUV,12,6,1.599
PICKUP,17,5,2.161
SEDAN,15,1,1.218
SUV,13,3,1.261
XE_MAY,12,2,0.51
PICKUP,23,1,1.272
PICKUP,4,4,1.265
XE_MAY,12,4,0.488
XE_MAY,2,5,0.58
PICKUP,4,6,1.615
PICKUP,5,0,1.241
SUV,12,2,1.285
SEDAN,14,2,0.994
SUV,12,2,1.279
PICKUP,8,6,2.201
XE_MAY,15,0,0.611
XE_MAY,11,1,0.5
XE_MAY,20,0,0.502
XE_MAY,7,1,0.5
XE_MAY,19,1,0.491
SEDAN,4,3,0.912
XE_MAY,18,1,0.493
PICKUP,22,2,1.224
SUV,5,4,1.135
XE_MAY,5,2,0.441
XE_MAY,18,0,0.513
SUV,18,5,1.669
PICKUP,12,5,1.865
SEDAN,2,4,0.893
SEDAN,3,5,1.136
SUV,21,4,1.154
XE_MAY,18,6,0.647
XE_MAY,11,4,0.514
PICKUP,21,2,1.295
XE_MAY,16,5,0.797
SUV,0,6,1.444
PICKUP,15,0,1.668
PICKUP,11,5,1.858
PICKUP,22,1,1.246
PICKUP,5,5,1.606
SUV,19,6,1.631
PICKUP,14,3,1.437
SUV,10,6,1.973
SEDAN,2,2,0.904
PICKUP,7,6,1.776
PICKUP,18,4,1.41
PICKUP,10,0,1.729
PICKUP,10,1,1.644
PICKUP,6,2,1.261
SUV,10,2,1.534
SUV,17,0,1.522
SEDAN,2,1,0.911
PICKUP,15,4,1.7
SEDAN,22,3,0.892
PICKUP,14,6,1.797
XE_MAY,2,2,0.458
SEDAN,12,5,1.324
SEDAN,9,5,1.594
SUV,15,4,1.537
SUV,13,5,1.626
SUV,11,5,1.625
PICKUP,8,2,1.71
SUV,7,0,1.261
SEDAN,10,0,1.215
SEDAN,6,1,0.916
PICKUP,8,5,2.235
SUV,3,6,1.448
SEDAN,9,1,1.191
SUV,5,2,1.098
XE_MAY,22,4,0.452
SEDAN,8,0,1.167
XE_MAY,17,2,0.599
SEDAN,20,6,1.303
PICKUP,3,6,1.617
XE_MAY,18,2,0.503
PICKUP,15,3,1.633
SUV,5,0,1.094
SUV,15,0,1.529
XE_MAY,12,3,0.496
XE_MAY,18,5,0.635
XE_MAY,4,1,0.451
SUV,2,1,1.143
XE_MAY,17,6,0.767
PICKUP,19,4,1.41
SEDAN,16,3,1.17
PICKUP,14,2,1.362
PICKUP,9,4,1.683
XE_MAY,19,5,0.652
XE_MAY,6,5,0.59
SEDAN,8,5,1.581
XE_MAY,5,1,0.463
SEDAN,17,0,1.201
SEDAN,0,3,0.89
PICKUP,22,4,1.282
PICKUP,9,0,1.657
SEDAN,9,5,1.554
SUV,22,6,1.426
PICKUP,2,5,1.591
SEDAN,8,6,1.603
SEDAN,13,0,1.02
SEDAN,20,1,1.012
SUV,4,0,1.119
XE_MAY,5,6,0.574
SUV,19,5,1.592
SUV,14,0,1.231
PICKUP,22,2,1.264
PICKUP,8,4,1.702
PICKUP,14,0,1.413
XE_MAY,13,5,0.641
SUV,19,2,1.284
XE_MAY,2,1,0.456
XE_MAY,21,6,0.587
SUV,18,0,1.258
SEDAN,15,4,1.194
PICKUP,8,1,1.655
PICKUP,20,6,1.804
PICKUP,2,3,1.279
SUV,13,2,1.214
SUV,21,0,1.099
SEDAN,10,3,1.167
PICKUP,9,5,2.124
PICKUP,17,0,1.716
PICKUP,2,2,1.275
SUV,10,0,1.498
PICKUP,16,6,2.131
XE_MAY,21,6,0.585
PICKUP,13,0,1.398
SEDAN,16,2,1.176
PICKUP,20,3,1.394
XE_MAY,6,2,0.447
SEDAN,9,3,1.208
PICKUP,3,0,1.27
SEDAN,22,1,0.875
SUV,17,0,1.489
PICKUP,2,1,1.27
XE_MAY,14,0,0.5
SEDAN,15,5,1.593
SUV,16,5,1.969
SUV,13,6,1.592
PICKUP,15,1,1.637
PICKUP,17,1,1.694
PICKUP,6,4,1.224
SEDAN,2,2,0.905
PICKUP,10,6,2.242
SUV,0,2,1.13
SUV,18,4,1.242
PICKUP,4,3,1.271
PICKUP,11,2,1.396
PICKUP,14,2,1.404
SEDAN,22,1,0.924
PICKUP,7,6,1.808
PICKUP,1,2,1.295
PICKUP,22,6,1.678
PICKUP,12,5,1.787
SEDAN,15,0,1.169
SEDAN,16,4,1.171
SUV,3,6,1.42
PICKUP,3,4,1.229
PICKUP,0,5,1.656
SEDAN,13,6,1.267
SEDAN,2,3,0.89
SUV,10,4,1.531
PICKUP,20,0,1.36
SUV,21,6,1.49
PICKUP,10,5,2.155
PICKUP,17,0,1.642
XE_MAY,7,5,0.658
SUV,7,5,1.638
XE_MAY,13,0,0.511
XE_MAY,14,1,0.507
SUV,0,0,1.145
SUV,1,2,1.11
SUV,11,3,1.226
SEDAN,7,4,1.015
PICKUP,18,5,1.854
SEDAN,5,1,0.926
XE_MAY,19,6,0.647
PICKUP,19,5,1.806
SEDAN,15,4,1.22
SEDAN,7,3,0.99
SUV,14,2,1.282
XE_MAY,14,2,0.511
SEDAN,2,3,0.896
SUV,18,2,1.269
PICKUP,22,2,1.279
PICKUP,9,1,1.64
PICKUP,15,0,1.721
SEDAN,12,4,1.0
SUV,18,2,1.274
SUV,0,6,1.447
PICKUP,8,0,1.72
XE_MAY,19,5,0.646
PICKUP,9,6,2.12
SEDAN,19,6,1.332
SUV,7,5,1.585
SEDAN,19,2,0.989
SEDAN,20,0,1.027
XE_MAY,9,6,0.801
PICKUP,1,4,1.266
SUV,23,1,1.134
XE_MAY,9,2,0.598
PICKUP,5,1,1.244
SEDAN,17,2,1.188
SUV,5,2,1.137
PICKUP,9,5,2.217
SUV,3,3,1.145
XE_MAY,4,6,0.595
SEDAN,21,5,1.141
PICKUP,17,2,1.679
XE_MAY,12,0,0.487
SUV,17,0,1.504
PICKUP,11,5,1.814
SUV,18,3,1.279
SUV,3,5,1.449
SEDAN,15,0,1.172
SUV,19,1,1.223
XE_MAY,20,6,0.66
PICKUP,22,2,1.269
PICKUP,3,1,1.23
XE_MAY,1,2,0.439
PICKUP,3,0,1.275
SEDAN,17,1,1.169
PICKUP,14,2,1.427
PICKUP,18,5,1.843
SEDAN,13,5,1.267
XE_MAY,15,4,0.585
PICKUP,8,0,1.729
SUV,6,3,1.117
PICKUP,7,6,1.806
SUV,3,5,1.49
SUV,17,5,2.002
SUV,1,3,1.158
SUV,6,0,1.142
PICKUP,2,5,1.626
SEDAN,20,5,1.268
XE_MAY,1,6,0.595
SUV,7,1,1.254
SEDAN,2,6,1.165
SEDAN,18,1,1.024
SEDAN,10,6,1.524
SEDAN,19,0,1.0
SUV,4,1,1.092
SUV,5,0,1.123
XE_MAY,4,0,0.438
SUV,7,4,1.221
SUV,0,1,1.099
SUV,1,1,1.135
PICKUP,16,0,1.705
XE_MAY,15,3,0.603
SUV,16,4,1.542
XE_MAY,14,4,0.496
SEDAN,19,0,0.987
SUV,14,5,1.661
XE_MAY,1,3,0.443
PICKUP,13,5,1.871
XE_MAY,15,5,0.757
PICKUP,2,0,1.296
SUV,19,1,1.216
XE_MAY,4,2,0.461
SUV,12,4,1.252
SUV,14,4,1.287
PICKUP,3,6,1.596
XE_MAY,20,5,0.652
SEDAN,13,3,1.028
SEDAN,13,2,1.001
PICKUP,12,3,1.411
XE_MAY,10,3,0.607
SUV,21,2,1.122
SUV,4,5,1.474
PICKUP,2,0,1.266
XE_MAY,2,3,0.461
XE_MAY,23,5,0.569
SUV,4,4,1.11
XE_MAY,18,4,0.514
SUV,21,0,1.151
PICKUP,11,6,1.815
PICKUP,23,0,1.269
SUV,19,2,1.233
SUV,3,4,1.104
SEDAN,4,5,1.167
PICKUP,7,6,1.804
XE_MAY,11,6,0.653
SUV,3,6,1.425
SUV,18,1,1.286
PICKUP,17,6,2.248
XE_MAY,19,5,0.658
SUV,0,1,1.127
SUV,22,6,1.446
SUV,10,2,1.528
XE_MAY,5,6,0.591
SEDAN,18,5,1.274
PICKUP,2,1,1.291
XE_MAY,2,5,0.596
SEDAN,12,3,1.027
PICKUP,10,1,1.703
SUV,9,5,1.963
SUV,18,4,1.244
XE_MAY,1,1,0.462
SEDAN,19,0,1.022
XE_MAY,8,3,0.584
PICKUP,15,4,1.632
PICKUP,13,2,1.39
SEDAN,16,0,1.222
SUV,13,0,1.287
SUV,21,5,1.432
PICKUP,16,5,2.196
SUV,1,1,1.117
PICKUP,19,0,1.439
XE_MAY,6,2,0.459
SEDAN,4,6,1.194
SUV,9,2,1.497
XE_MAY,0,3,0.448
PICKUP,5,1,1.243
PICKUP,17,5,2.126
SEDAN,16,4,1.226
SUV,2,3,1.146
XE_MAY,13,0,0.515
PICKUP,2,6,1.687
SUV,18,3,1.254
PICKUP,22,5,1.664
PICKUP,9,0,1.725
PICKUP,0,2,1.286
SEDAN,19,3,0.985
SUV,2,3,1.122
XE_MAY,7,3,0.489
PICKUP,16,0,1.726
PICKUP,9,5,2.198
SUV,7,2,1.23
SEDAN,2,4,0.909
XE_MAY,16,4,0.604
SEDAN,11,2,0.991
SEDAN,7,0,0.977
SEDAN,8,1,1.212
SEDAN,19,1,1.001
XE_MAY,5,6,0.595
PICKUP,14,6,1.822
PICKUP,21,4,1.287
SUV,20,2,1.254
SEDAN,14,0,1.004
PICKUP,14,5,1.861
SUV,8,4,1.491
XE_MAY,11,4,0.489
XE_MAY,9,3,0.583
PICKUP,1,0,1.279
SUV,9,0,1.511
XE_MAY,19,4,0.506
PICKUP,14,4,1.376
XE_MAY,14,6,0.636
SEDAN,10,4,1.165
PICKUP,16,1,1.665
XE_MAY,14,0,0.503
SUV,22,0,1.118
SEDAN,1,1,0.897
PICKUP,14,4,1.434
SEDAN,11,2,0.991
SUV,12,3,1.251
SUV,21,4,1.144
XE_MAY,20,5,0.646
SUV,2,2,1.133
XE_MAY,17,5,0.797
PICKUP,9,2,1.725
SEDAN,10,0,1.175
SEDAN,11,2,1.026
PICKUP,4,4,1.259
XE_MAY,9,4,0.591
PICKUP,20,6,1.816
SUV,4,5,1.505
XE_MAY,20,5,0.65
PICKUP,16,2,1.663
XE_MAY,11,2,0.504
SEDAN,6,2,0.886
PICKUP,6,1,1.228
SEDAN,4,0,0.88
SUV,3,4,1.1
XE_MAY,21,2,0.441
SEDAN,19,3,0.978
SEDAN,5,1,0.908
SEDAN,23,3,0.883
XE_MAY,13,2,0.495
SEDAN,14,4,1.024
SUV,23,6,1.46
PICKUP,7,4,1.414
SEDAN,9,6,1.529
PICKUP,6,2,1.237
PICKUP,14,6,1.77
SUV,12,4,1.225
PICKUP,5,6,1.616
SEDAN,19,1,0.981
SUV,1,5,1.426
PICKUP,11,4,1.368
XE_MAY,22,6,0.584
XE_MAY,9,0,0.589
SEDAN,8,3,1.19
SEDAN,13,0,1.0
SEDAN,14,2,1.011
XE_MAY,13,0,0.486
PICKUP,16,2,1.71
SEDAN,12,0,1.008
SUV,7,0,1.219
SUV,3,6,1.495
SUV,4,1,1.153
XE_MAY,9,6,0.759
PICKUP,22,6,1.616
SEDAN,22,3,0.917
PICKUP,19,0,1.421
XE_MAY,0,2,0.441
SEDAN,4,4,0.884
PICKUP,3,6,1.625
SUV,7,2,1.249
XE_MAY,1,1,0.453
PICKUP,20,6,1.806
PICKUP,2,0,1.257
PICKUP,19,4,1.421
XE_MAY,20,4,0.486
SEDAN,22,1,0.887
SUV,13,0,1.266
SUV,7,4,1.28
PICKUP,5,5,1.639
XE_MAY,16,2,0.601
XE_MAY,16,4,0.586
XE_MAY,12,6,0.648
PICKUP,1,5,1.641
PICKUP,11,2,1.378
XE_MAY,11,6,0.641
XE_MAY,11,1,0.496
XE_MAY,18,5,0.631
SUV,4,0,1.113
SUV,17,2,1.474
SEDAN,21,3,0.891
PICKUP,20,1,1.368
SEDAN,2,5,1.197
PICKUP,1,2,1.267
SEDAN,1,6,1.183
SEDAN,1,2,0.916
SUV,16,3,1.5
PICKUP,8,0,1.638
SEDAN,9,2,1.203
XE_MAY,20,2,0.503
SUV,3,6,1.484
SUV,13,3,1.245
PICKUP,12,2,1.369
SEDAN,15,5,1.54
PICKUP,11,6,1.805
SUV,2,5,1.475
PICKUP,2,3,1.265
SEDAN,17,2,1.19
SUV,3,0,1.158
SUV,21,2,1.132
SUV,14,4,1.23
PICKUP,5,5,1.599
PICKUP,11,3,1.371
XE_MAY,23,6,0.576
SUV,19,3,1.225
SUV,20,6,1.594
XE_MAY,2,5,0.577
PICKUP,11,4,1.373
SEDAN,0,1,0.921
PICKUP,1,1,1.228
XE_MAY,7,6,0.651
SUV,11,3,1.243
XE_MAY,19,1,0.514
PICKUP,11,2,1.367
PICKUP,2,4,1.252
SEDAN,16,2,1.234
PICKUP,10,5,2.232
SUV,7,0,1.274
XE_MAY,23,1,0.443
PICKUP,16,3,1.647
XE_MAY,8,6,0.788
SUV,22,3,1.154
SEDAN,19,2,1.003
PICKUP,6,0,1.265
SEDAN,2,3,0.888
SEDAN,22,3,0.915
XE_MAY,21,6,0.574
SUV,21,2,1.113
XE_MAY,17,4,0.597
SUV,9,6,1.951
SEDAN,22,5,1.152
SEDAN,11,4,0.977
SEDAN,3,1,0.906
SEDAN,7,6,1.284
PICKUP,0,2,1.266
SUV,14,6,1.591
SEDAN,19,0,0.999
XE_MAY,9,3,0.601
PICKUP,16,3,1.635
PICKUP,18,0,1.386
SEDAN,10,5,1.526
XE_MAY,14,3,0.487
SUV,4,6,1.505
SEDAN,4,3,0.89
XE_MAY,3,4,0.458
SEDAN,9,1,1.182
SEDAN,10,5,1.577
SEDAN,11,4,1.016
SUV,2,2,1.131
SEDAN,20,4,0.998
SUV,4,5,1.455
SUV,19,4,1.239
XE_MAY,16,5,0.8
SEDAN,18,4,1.02
SEDAN,5,5,1.203
SUV,18,0,1.222
XE_MAY,2,0,0.456
SUV,20,1,1.283
PICKUP,19,5,1.785
XE_MAY,15,5,0.76
SUV,20,2,1.268
PICKUP,7,6,1.828
PICKUP,9,3,1.714
XE_MAY,22,0,0.44
SEDAN,14,3,1.018
PICKUP,14,1,1.375
SUV,19,1,1.225
SUV,22,2,1.102
SUV,12,1,1.274
SUV,16,4,1.515
XE_MAY,10,1,0.601
PICKUP,3,2,1.249
PICKUP,7,1,1.432
XE_MAY,1,2,0.447
PICKUP,19,3,1.427
SEDAN,5,6,1.166
SUV,18,5,1.613
SUV,6,6,1.459
SEDAN,15,4,1.186
PICKUP,15,2,1.705
PICKUP,0,0,1.26
PICKUP,16,3,1.653
SEDAN,6,4,0.922
SUV,1,0,1.117
SUV,15,4,1.504
PICKUP,9,4,1.721
XE_MAY,3,3,0.453
SEDAN,8,5,1.524
SUV,12,2,1.283
XE_MAY,12,0,0.504
SEDAN,11,4,0.99
SUV,2,3,1.101
PICKUP,17,2,1.71
XE_MAY,4,0,0.453
PICKUP,11,6,1.824
SUV,17,2,1.535
SEDAN,6,4,0.916
PICKUP,16,0,1.645
XE_MAY,1,1,0.445
SUV,15,4,1.477
PICKUP,4,4,1.278
SEDAN,10,4,1.166
SUV,5,3,1.13
SUV,18,2,1.27
PICKUP,22,4,1.288
SUV,15,6,1.932
XE_MAY,11,2,0.51
XE_MAY,13,4,0.488
SUV,23,6,1.493
XE_MAY,19,3,0.489
SUV,20,6,1.615
SEDAN,23,0,0.916
PICKUP,5,4,1.234
PICKUP,4,6,1.611
SEDAN,1,4,0.912
XE_MAY,6,0,0.456
PICKUP,10,3,1.694
SEDAN,13,5,1.315
SEDAN,13,4,1.003
PICKUP,23,5,1.614
XE_MAY,22,1,0.446
SEDAN,17,2,1.177
PICKUP,16,3,1.721
SUV,5,3,1.131
SUV,17,2,1.491
SUV,19,3,1.247
SEDAN,7,2,1.027
SUV,7,2,1.224
SUV,22,1,1.131
PICKUP,10,3,1.681
SUV,17,6,1.963
SUV,9,0,1.457
PICKUP,12,6,1.861
SUV,4,2,1.154
XE_MAY,9,5,0.783
XE_MAY,11,3,0.506
SUV,23,3,1.154
SEDAN,6,6,1.185
SUV,17,5,1.909
SUV,4,0,1.13
SEDAN,7,0,1.006
SEDAN,20,1,0.995
XE_MAY,3,3,0.456
SUV,22,3,1.154
XE_MAY,21,6,0.6
SEDAN,0,4,0.897
SEDAN,13,5,1.27
PICKUP,15,5,2.248
SEDAN,9,2,1.224
SUV,20,0,1.222
XE_MAY,20,4,0.513
SEDAN,17,5,1.595
XE_MAY,5,3,0.451
SEDAN,1,6,1.176
PICKUP,15,1,1.67
SUV,1,0,1.095
SUV,18,4,1.238
XE_MAY,10,2,0.611
PICKUP,20,4,1.358
PICKUP,4,6,1.622
PICKUP,8,1,1.67
XE_MAY,10,1,0.601
PICKUP,20,2,1.435
SEDAN,0,5,1.159
SUV,9,4,1.486
SEDAN,5,4,0.913
PICKUP,13,4,1.396
SUV,2,3,1.106
XE_MAY,5,1,0.449
PICKUP,10,1,1.644
XE_MAY,8,3,0.588
SEDAN,14,6,1.3
SUV,10,2,1.493
XE_MAY,8,5,0.799
SUV,22,1,1.116
XE_MAY,21,0,0.452
PICKUP,9,1,1.693
PICKUP,21,4,1.223
SUV,22,0,1.136
SUV,11,4,1.226
SEDAN,7,1,1.028
PICKUP,4,3,1.233
SUV,13,5,1.617
PICKUP,17,6,2.13
SEDAN,7,5,1.339
XE_MAY,16,3,0.6
SUV,2,4,1.131
XE_MAY,1,6,0.57
SEDAN,18,4,1.015
SEDAN,5,2,0.884
PICKUP,3,5,1.677
SEDAN,22,4,0.884
PICKUP,2,4,1.237
PICKUP,1,3,1.225
SEDAN,16,3,1.198
PICKUP,18,0,1.405
PICKUP,21,6,1.595
SUV,23,0,1.144
PICKUP,8,6,2.178
XE_MAY,23,1,0.451
XE_MAY,1,3,0.448
SUV,22,0,1.118
XE_MAY,2,3,0.452
XE_MAY,9,3,0.588
SEDAN,4,6,1.148
PICKUP,11,3,1.43
PICKUP,12,3,1.437
XE_MAY,21,5,0.581
SEDAN,20,6,1.282
SUV,3,1,1.135
PICKUP,16,1,1.671
SEDAN,0,6,1.137
XE_MAY,9,3,0.588
PICKUP,17,3,1.702
SEDAN,7,3,1.01
SUV,4,2,1.093
SEDAN,23,6,1.15
XE_MAY,1,6,0.576
PICKUP,19,6,1.839
XE_MAY,7,1,0.486
XE_MAY,3,4,0.439
XE_MAY,14,4,0.509
XE_MAY,7,5,0.637
XE_MAY,12,3,0.505
SEDAN,17,1,1.181
XE_MAY,4,4,0.439
SUV,7,6,1.6
SUV,18,4,1.267
SUV,7,2,1.277
SEDAN,21,4,0.918
SEDAN,13,2,0.994
SUV,1,4,1.136
SEDAN,20,5,1.277
PICKUP,17,3,1.659
XE_MAY,11,5,0.665
PICKUP,16,2,1.631
PICKUP,13,1,1.365
SUV,12,1,1.228
PICKUP,7,6,1.768
SEDAN,9,6,1.53
SEDAN,14,0,1.005
PICKUP,13,4,1.393
SEDAN,12,1,1.024
SUV,6,2,1.146
XE_MAY,14,6,0.644
SUV,2,4,1.109
SEDAN,1,2,0.894
PICKUP,21,4,1.267
XE_MAY,2,1,0.444
SEDAN,15,1,1.209
SUV,9,0,1.492
SEDAN,6,5,1.174
XE_MAY,23,6,0.583
PICKUP,7,5,1.798
SEDAN,12,1,1.027
SUV,9,3,1.524
PICKUP,17,5,2.137
SUV,9,2,1.533
SUV,16,3,1.499
PICKUP,3,6,1.677
PICKUP,10,1,1.71
SUV,10,3,1.493
XE_MAY,18,6,0.631
SEDAN,23,1,0.888
XE_MAY,8,4,0.601
PICKUP,9,1,1.693
SEDAN,10,1,1.183
PICKUP,18,6,1.781
SEDAN,15,4,1.224
SUV,8,6,2.007
PICKUP,23,5,1.641
PICKUP,14,1,1.372
SUV,5,1,1.11
PICKUP,5,4,1.224
XE_MAY,16,0,0.615
XE_MAY,21,0,0.44
XE_MAY,13,1,0.502
SEDAN,2,5,1.154
SEDAN,0,1,0.903
PICKUP,11,0,1.413
PICKUP,21,3,1.285
XE_MAY,0,4,0.442
PICKUP,0,0,1.223
SUV,17,2,1.467
XE_MAY,16,6,0.799
PICKUP,5,0,1.288
XE_MAY,16,1,0.604
SEDAN,6,4,0.905
SUV,11,2,1.262
PICKUP,2,2,1.235
PICKUP,14,4,1.435
SEDAN,22,1,0.896
SUV,21,6,1.452
XE_MAY,20,6,0.651
XE_MAY,2,3,0.438
PICKUP,12,4,1.372
PICKUP,1,5,1.661
XE_MAY,22,1,0.439
XE_MAY,15,6,0.785
PICKUP,20,6,1.792
SUV,18,6,1.614
XE_MAY,16,0,0.592
SEDAN,6,6,1.16
PICKUP,8,0,1.702
XE_MAY,21,2,0.445
XE_MAY,5,6,0.587
SUV,0,1,1.123
SEDAN,22,6,1.181
PICKUP,2,2,1.293
SEDAN,18,1,1.014
PICKUP,21,4,1.238
SUV,12,6,1.579
SEDAN,22,5,1.153
XE_MAY,16,5,0.784
SUV,1,0,1.095
PICKUP,7,6,1.82
XE_MAY,10,4,0.603
PICKUP,10,0,1.663
SUV,14,3,1.27
SEDAN,11,4,0.976
PICKUP,13,1,1.364
PICKUP,2,6,1.66
SUV,7,5,1.625
XE_MAY,2,2,0.455
SEDAN,12,5,1.295
SEDAN,23,3,0.886
SUV,11,0,1.274
XE_MAY,0,2,0.458
PICKUP,11,6,1.841
SUV,3,1,1.11
XE_MAY,5,3,0.452
PICKUP,17,4,1.666
PICKUP,3,0,1.229
XE_MAY,11,4,0.513
XE_MAY,19,4,0.489
SUV,12,0,1.284
SUV,13,3,1.246
XE_MAY,23,4,0.441
SEDAN,18,4,1.003
SEDAN,21,3,0.92
SEDAN,4,2,0.913
SUV,8,3,1.528
SEDAN,2,1,0.909
PICKUP,8,3,1.699
SUV,15,6,1.991
XE_MAY,11,2,0.492
SEDAN,23,5,1.169
PICKUP,19,4,1.377
SEDAN,14,0,1.029
SEDAN,9,0,1.232
PICKUP,10,6,2.124
PICKUP,10,3,1.701
SUV,13,6,1.666
SEDAN,9,2,1.177
